state_name,statefip,state,SAHO
ALABAMA,1,AL, 4-Apr-20
ALASKA,2,AK,28-Mar-20
ARIZONA,4,AZ,31-Mar-20
ARKANSAS,5,AR,.
CALIFORNIA,6,CA,19-Mar-20
COLORADO,8,CO,26-Mar-20
CONNECTICUT,9,CT,23-Mar-20
DELAWARE,10,DE,24-Mar-20
DISTRICT OF COLUMBIA,11,DC, 1-Apr-20
FLORIDA,12,FL, 3-Apr-20
GEORGIA,13,GA, 3-Apr-20
HAWAII,15,HI,25-Mar-20
IDAHO,16,ID,25-Mar-20
ILLINOIS,17,IL,21-Mar-20
INDIANA,18,IN,24-Mar-20
IOWA,19,IA,.
KANSAS,20,KS,30-Mar-20
KENTUCKY,21,KY,26-Mar-20
LOUISIANA,22,LA,23-Mar-20
MAINE,23,ME, 2-Apr-20
MARYLAND,24,MD,30-Mar-20
MASSACHUSETTS,25,MA,24-Mar-20
MICHIGAN,26,MI,24-Mar-20
MINNESOTA,27,MN,27-Mar-20
MISSISSIPPI,28,MS, 3-Apr-20
MISSOURI,29,MO, 6-Apr-20
MONTANA,30,MT,28-Mar-20
NEBRASKA,31,NE,.
NEVADA,32,NV, 1-Apr-20
NEW HAMPSHIRE,33,NH,27-Mar-20
NEW JERSEY,34,NJ,21-Mar-20
NEW MEXICO,35,NM,24-Mar-20
NEW YORK,36,NY,22-Mar-20
NORTH CAROLINA,37,NC,30-Mar-20
NORTH DAKOTA,38,ND,.
OHIO,39,OH,23-Mar-20
OKLAHOMA,40,OK,.
OREGON,41,OR,23-Mar-20
PENNSYLVANIA,42,PA, 1-Apr-20
RHODE ISLAND,44,RI,15-Mar-20
SOUTH CAROLINA,45,SC, 7-Apr-20
SOUTH DAKOTA,46,SD,.
TENNESSEE,47,TN,31-Mar-20
TEXAS,48,TX, 2-Apr-20
UTAH,49,UT,.
VERMONT,50,VT,25-Mar-20
VIRGINIA,51,VA,30-Mar-20
WASHINGTON,53,WA,23-Mar-20
WEST VIRGINIA,54,WV,24-Mar-20
WISCONSIN,55,WI,25-Mar-20
WYOMING,56,WY,.
